放款时间,订单号,订单支付时间, 商品ID,商品名称,商品数量,订单金额,本次放款金额,平台佣金扣除,联盟佣金扣除,入账账户,放款币种,是否提前放款
2019/1/28 2:45,9.66751E+13,2018/11/27 6:31,32952057278,2017 New Arrival Xiaomi Mi Air Purifier 2S sterilizer addition to Formaldehyde cleaning Intelligent Household Smart APP WIFI,1,108.46,97.62,5.42,5.42,ALIPAY,USD,FALSE
2019/1/26 2:35,9.6862E+13,2018/11/27 23:45,32952484963,Original Xiaomi Mijia Thermostatic Electric Kettle 1.5L Control by Mobile Phone App 12 Hours Constant Temperature Smart Teapot,2,54.24,51.53,2.71,0,ALIPAY,USD,FALSE
2019/1/25 19:57,9.7253E+13,2018/12/25 6:35,32955198301,Yamazaki practical cordless cleaner stand plate vacuum cleaner stand plate ,1,59.9,55.11,4.79,0,ALIPAY,USD,FALSE
2019/1/22 2:35,9.6752E+13,2018/11/25 3:37,32955198301,Yamazaki practical cordless cleaner stand plate vacuum cleaner stand plate ,1,33.06,30.42,2.64,0,ALIPAY,USD,FALSE
2019/1/21 3:03,9.65267E+13,2018/11/23 0:01,32951565854,72% IPS GTX1060 6G 15.6 inch narrow border  game notebook i7-8750H 8G 128GPCIE+1T mechanical keyboard,1,722.93,650.63,36.15,36.15,ALIPAY,USD,FALSE
2019/1/21 3:03,3.10729E+13,2018/11/25 22:26,32951565854,72% IPS GTX1060 6G 15.6 inch narrow border  game notebook i7-8750H 8G 128GPCIE+1T mechanical keyboard,1,722.93,650.63,36.15,36.15,ALIPAY,USD,FALSE
2019/1/21 3:01,9.64835E+13,2018/11/23 0:02,32951565854,72% IPS GTX1060 6G 15.6 inch narrow border  game notebook i7-8750H 8G 128GPCIE+1T mechanical keyboard,1,722.93,686.78,36.15,0,ALIPAY,USD,FALSE
2019/1/21 3:01,3.10783E+13,2018/11/23 0:12,32951565854,72% IPS GTX1060 6G 15.6 inch narrow border  game notebook i7-8750H 8G 128GPCIE+1T mechanical keyboard,1,723.93,687.73,36.2,0,ALIPAY,USD,FALSE
2019/1/20 2:43,9.66489E+13,2018/11/25 7:17,32956070087,MEIZU paquete,1,15.51,13.95,0.78,0.78,ALIPAY,USD,FALSE
2019/1/20 2:39,9.66957E+13,2018/11/27 17:37,32952484963,Original Xiaomi Mijia Thermostatic Electric Kettle 1.5L Control by Mobile Phone App 12 Hours Constant Temperature Smart Teapot,1,27.12,25.76,1.36,0,ALIPAY,USD,FALSE
2019/1/19 0:50,3.10698E+13,2018/11/23 2:21,32952484963,Original Xiaomi Mijia Thermostatic Electric Kettle 1.5L Control by Mobile Phone App 12 Hours Constant Temperature Smart Teapot,1,27.12,24.4,1.36,1.36,ALIPAY,USD,FALSE
2019/1/19 0:50,3.10786E+13,2018/11/23 2:43,32952484963,Original Xiaomi Mijia Thermostatic Electric Kettle 1.5L Control by Mobile Phone App 12 Hours Constant Temperature Smart Teapot,1,27.12,25.76,1.36,0,ALIPAY,USD,FALSE
